Ki,MSE_x,IAE_x,Ess_Mean,Ess_RMS
0.000000,0.000480,0.090121,-0.000010,0.000011
0.100000,0.000481,0.093263,-0.000417,0.000417
0.500000,0.000489,0.106602,-0.002239,0.002239
1.000000,0.000507,0.125116,-0.004984,0.004985
2.000000,0.000583,0.168971,-0.012276,0.012288
