Ki,MSE_x,IAE_x,Ess_Mean,Ess_RMS
0.000000,0.081621,2.230828,-0.154464,0.252097
0.100000,0.082408,2.241322,-0.159436,0.255316
0.500000,0.085846,2.290005,-0.180165,0.269334
1.000000,0.090866,2.365741,-0.208076,0.289543
2.000000,0.103842,2.545846,-0.271310,0.339637
