Ki,MSE_x,IAE_x,Ess_Mean,Ess_RMS
0.000000,0.460084,3.757767,0.226613,1.298435
0.500000,0.455562,3.787748,0.175592,1.283515
1.000000,0.452637,3.825582,0.118372,1.269537
2.000000,0.454109,3.966777,-0.019141,1.247846
5.000000,0.623328,5.470494,-0.727730,1.387258
